GIS_X좌표,GIS_Y좌표
203672.7963,544819.5166
204086.23,545674.77
205250.73,545167.97
205702.2559,544627.7565
202013.5147,545584.4746
201956.95,546374.04
202963.25,543913.62
205442.3099,544585.098
203587.61,543823.62
204325.71,546024.96
203436.6,547276.54
203466.4291,547546.1345
205186.2025,545837.0143
204812.46,541630.65
205667.7647,541951.5532
204123.43,545113.01
203686.15,547411.38
202589.1394,545345.4617
202795.09,544008.88
205024.2594,545319.0236
202499.49,545400.8
206034.7834,544162.4902
202460.4209,547301.731
204948.66,547164.56
203042.98,544281.34
202636.34,548162.03
204825.74,545404.44
205199.6,545429.97
208480.02,541457.88
202308.87,545027.23
203675.62,545538.79
203452.8923,546592.0293
202888.88,545211.71
208532.7307,543464.9076
202603.99,546116.89
202420.65,546978.24
204445.23,544782.43
204186.45,545839.48
201922.48,546616.26
207282.9752,543599.965
202682.98,545636.63
207543.94,542826.75
202298.96,544892.79
205735.6092,544423.87
205023.63,545584.54
203336.6073,542880.1128
203123.5247,547406.9416
201892.767,547642.5451
203820.45,547018.71
203630.95,547218.09
204898.2902,547292.9914
204325.71,546024.96
203151.99,543985.89
203217.79,546515.38
203036.6019,544545.6931
202607.4514,548006.8728
203369.41,547242.75
205026.8,544842.67
204507.97,544947.83
202169.82,545545.69
204599.1668,544965.7342
203582.33,545598.78
202277.57,545966.25
202363.72,545668.12
209138.1152,540553.769
204477.01,545803.59
202972.35,544048.03
203019.84,544576.86
202244.8201,546133.2651
209747.33,540555.78
204203.7786,546492.6859
203474.05,546881.73
202735.6449,547077.7246
205636.99,546099.44
205404.7777,545653.0742
204360.75,546066.55
203634.88,546293.71
203464.44,544541.13
202237.85,546727.18
202424.44,547360.02
202074.9,546402.89
204734.79,544262.12
203233.18,547642.31
203968.9,544792.17
202592.14,544252.76
203031.22,545295.68
203484.21,545240.85
203067.2635,544727.415
209482.5415,541669.9893
204645.0382,547291.5957
203718.9272,547072.9589
203621.12,546960.69
204646.97,545289.96
203341.101,544109.6452
202696.3,546961.59
205373.82,544492.33
208820.05,540961.79
210258.1101,540694.4431
203414.7435,545168.9346
204582.56,544267.98
204206.48,547013.05
208947.3585,541779.7318
203127.16,544006.53
201884.8144,546494.781
203738.29,544481.6
203135.19,544294.96
203506.199,543886.7366
209352.0965,543168.7876
203909.27,545694.76
204333.0459,541673.6913
204300.02,546189.5
203064.0083,546229.9125
202704.51,547103.45
209165.3193,542914.5811
204100.81,545083.33
203234.75,545440.21
205613.47,546079.2
209742.6,540579.98
202563.7996,545936.3183
208951.4024,543309.796
201816.9328,546800.8373
203483.76,547521.66
204515.56,547408.54
204892.93,544633.61
202088.82,546728.89
204910.19,545579.67
202273.4256,548053.8002
203385.34,546894.5
204800.25,544629.83
202778.48,544255.14
202526.51,544429.2
204920.6407,544217.2664
202947.86,546216.81
202574.16,546857.1
204729.25,541787.9999
203835.85,547277.94
204651.2903,545866.7823
203544.82,545052.69
203641.19,544039.64
203019.13,543015.06
203681.22,546219.68
202378.15,546466.49
209317.76,543286.02
203554.94,546651.22
207488.72,543962.06
203887.42,543874.32
209553.5052,541228.5226
204080.06,547111.89
203351.7218,546990.2159
203845.32,544419.69
204809.41,545571.84
204668.7617,546000.1043
203200.38,543818.74
204711.86,547345.82
202776.7,546545.44
204870.5023,544814.5261
205942.4924,543290.5595
210000.98,540836.96
202484.53,544560.82
205703.6512,544497.8558
201980.64,546576.47
204574.9287,545879.1641
205139.59,544500.53
203861.2788,547095.4568
205235.818,544145.5787
204678.05,544248.88
203459.47,544754.58
201856.2245,547226.9097
204342.6142,546217.0803
204032.57,545737.29
205125.8948,547139.8778
204702.2267,546560.1888
202288.86,544916.83
201888.12,547060.03
204045.81,545785.01
