읍면동명,갯수
신림동,155
봉천동,109
화곡동,108
역삼동,94
독산동,87
구로동,82
신사동,81
미아동,80
상계동,79
서초동,79
수유동,77
신길동,74
면목동,67
논현동,61
신정동,61
시흥동,60
대치동,59
창동,57
서교동,57
가락동,57
대림동,56
방배동,55
방이동,54
정릉동,53
사당동,52
목동,51
신월동,51
자양동,50
방학동,48
삼성동,47
성수동2가,46
쌍문동,46
잠실동,46
중계동,45
가산동,45
공릉동,43
중곡동,43
여의도동,42
등촌동,40
화양동,40
천호동,40
상도동,39
응암동,38
구의동,38
창천동,36
번동,35
방화동,35
반포동,34
역촌동,32
청담동,32
신당동,32
개봉동,31
문정동,31
양재동,30
장안동,30
마곡동,30
갈현동,30
상봉동,29
성수동1가,29
석촌동,28
도봉동,28
한남동,28
불광동,27
오류동,27
연희동,27
암사동,27
홍은동,27
이태원동,26
삼전동,26
행당동,26
송파동,26
성내동,26
북가좌동,25
성산동,24
종암동,24
거여동,24
망우동,24
홍제동,23
신대방동,23
창신동,23
석관동,23
장지동,22
휘경동,21
중화동,21
합정동,21
남가좌동,21
마천동,21
신내동,20
망원동,20
전농동,20
대조동,20
녹번동,20
신도림동,19
잠원동,19
용답동,19
진관동,19
장위동,19
풍납동,19
이문동,19
보광동,18
고척동,18
오금동,18
제기동,18
남현동,17
노량진동,17
길동,17
월계동,17
상일동,17
가양동,16
일원동,16
마장동,15
숭인동,15
하월곡동,15
구산동,15
옥수동,15
용두동,15
영등포동,15
동교동,14
황학동,14
후암동,14
양평동4가,14
길음동,14
묵동,14
염창동,14
하계동,14
북아현동,14
개포동,14
둔촌동,13
명일동,13
문래동3가,13
평창동,13
한강로2가,13
돈암동,13
신수동,13
아현동,13
대현동,13
연남동,13
공덕동,13
압구정동,12
동자동,12
도화동,12
고덕동,12
대방동,12
하왕십리동,12
도림동,12
세곡동,11
도곡동,11
상암동,11
답십리동,11
신천동,10
회기동,10
당산동1가,10
군자동,10
공항동,10
동작동,9
효창동,9
대흥동,9
동숭동,9
삼선동5가,9
내발산동,9
영등포동4가,9
이촌동,9
양평동3가,9
창전동,9
가리봉동,9
한강로3가,9
영등포동2가,8
자곡동,8
신공덕동,8
우이동,8
한강로1가,8
동선동1가,8
청량리동,8
관훈동,8
안암동5가,8
수색동,8
금호동2가,8
용산동2가,8
상수동,8
우면동,8
영등포동3가,7
신원동,7
증산동,7
수서동,7
남영동,7
양평동5가,7
부암동,7
광장동,7
구기동,7
도선동,7
당산동,7
종로6가,7
흑석동,7
신촌동,7
염리동,6
당산동6가,6
강일동,6
남창동,6
묘동,6
관철동,6
중동,6
청파동2가,6
원효로2가,6
청파동3가,6
종로5가,6
사근동,6
신설동,6
옥천동,5
문래동5가,5
개화동,5
노고산동,5
송정동,5
동선동3가,5
금호동1가,5
원효로1가,5
능동,5
돈의동,4
서빙고동,4
인현동2가,4
을지로6가,4
청진동,4
원남동,4
익선동,4
수송동,4
서계동,4
갈월동,4
청파동1가,4
양평동2가,4
영등포동5가,4
상도1동,4
삼선동1가,4
충정로2가,4
양평동1가,4
당산동5가,4
외발산동,4
성북동,4
궁동,4
삼선동4가,4
보문동2가,4
본동,4
천왕동,4
문래동2가,4
상월곡동,3
동선동4가,3
장사동,3
오장동,3
명동2가,3
안암동3가,3
명륜1가,3
동선동2가,3
보문동7가,3
충무로1가,3
용문동,3
온수동,3
동소문동5가,3
안암동1가,3
낙원동,3
원지동,3
종로3가,3
중림동,3
용강동,3
항동,3
을지로7가,3
동빙고동,3
영등포동7가,3
영등포동8가,3
당산동3가,3
문래동6가,3
당산동4가,3
당산동2가,3
영등포동6가,3
이화동,3
양화동,3
문래동1가,3
충신동,3
을지로3가,3
계동,3
신계동,3
봉래동2가,3
삼선동2가,3
충무로3가,3
내곡동,3
종로4가,3
서린동,2
예지동,2
혜화동,2
무악동,2
홍파동,2
봉익동,2
현석동,2
을지로2가,2
구수동,2
다동,2
인현동1가,2
장충동2가,2
남대문로2가,2
수하동,2
충무로5가,2
광희동2가,2
순화동,2
회현동1가,2
필동2가,2
의주로1가,2
대신동,2
북창동,2
초동,2
흥인동,2
입정동,2
견지동,2
영등포동1가,2
효제동,2
내수동,2
보문동4가,2
동소문동6가,2
용산동6가,2
동소문동4가,2
도원동,2
원효로4가,2
홍익동,2
응봉동,2
안암동2가,2
동선동5가,2
충정로3가,2
냉천동,2
오곡동,2
양평동,2
사간동,2
경운동,2
신영동,2
양평동6가,2
세종로,2
명륜3가,2
동소문동1가,2
누하동,2
신창동,1
산림동,1
무교동,1
율현동,1
예장동,1
을지로4가,1
묵정동,1
장충동1가,1
용산동3가,1
보문동5가,1
의주로2가,1
필동3가,1
용산동1가,1
성북동1가,1
태평로2가,1
남산동1가,1
저동1가,1
예관동,1
수표동,1
삼선동3가,1
원효로3가,1
회현동2가,1
주교동,1
신문로1가,1
필동1가,1
충정로1가,1
인의동,1
안국동,1
연건동,1
홍지동,1
관수동,1
사직동,1
권농동,1
명륜4가,1
명륜2가,1
행촌동,1
신교동,1
통인동,1
운니동,1
종로2가,1
소격동,1
천연동,1
당주동,1
염곡동,1
통의동,1
오쇠동,1
마포동,1
필운동,1
상왕십리동,1
금호동3가,1
누상동,1
을지로1가,1
충무로4가,1
문래동4가,1
만리동1가,1
방산동,1
,5671
