연번,서ㆍ센터ID,서ㆍ센터명,유형구분명,도서지역포함여부,상위서ㆍ센터ID,일련번호,X좌표,Y좌표,위도,경도
1,1109101,종암119안전센터,안전센터/구조대, ,1109000,137,202791.9644,555883.1996,37.60252105,127.0316175
2,1109201,구조대,안전센터/구조대, ,1109000,138,202816.8937,555864.5154,37.60235263,127.0318997
3,1109000,성북소방서,소방서, ,1100000,139,202804.149,555873.76,37.60243596,127.0317554
4,1107102,청량리119안전센터,안전센터/구조대, ,1107000,140,204625.8896,554177.4189,37.58714472,127.0523749
5,1125104,삼각산119안전센터,안전센터/구조대, ,1125000,141,201365.2688,557807.8002,37.61986471,127.0154645
6,1117105,개화119안전센터,안전센터/구조대, ,1117000,142,182606.2297,552851.9483,37.57504972,126.8030974
7,1123201,119구조대,안전센터/구조대, ,1123000,143,194220.3846,552477.2647,37.57181992,126.9345758
8,1123000,서대문소방서,소방서, ,1100000,144,194337.7698,552637.4366,37.57326379,126.9359034
9,1106000,용산소방서,소방서, ,1100000,145,197483.5272,548286.9058,37.53407957,126.9715284
10,1106101,한강로119안전센터,안전센터/구조대, ,1106000,146,197475.7601,548278.7732,37.53400627,126.9714405
11,1106201,구조대,안전센터/구조대, ,1106000,147,197492.9824,548295.2931,37.53415517,126.9716353
12,1102000,동작소방서,소방서, ,1100000,148,192720.099,543910.6621,37.49462419,126.9176778
13,1102101,동작119안전센터,안전센터/구조대, ,1102000,149,192707.3664,543910.399,37.49462172,126.9175338
14,1102201,구조대,안전센터/구조대, ,1102000,150,192731.6198,543910.7474,37.49462505,126.9178081
15,1120105,종합운동장119안전센터,안전센터/구조대, ,1120000,151,206275.5993,546084.1854,37.51421511,127.070984
16,1107105,휘경119안전센터,안전센터/구조대, ,1107000,152,205752.8401,554569.3784,37.59066989,127.0651375
17,1121105,신트리119안전센터,안전센터/구조대, ,1121000,153,186559.8846,545696.9246,37.51064938,126.8479847
18,1113107,상암119안전센터,안전센터/구조대, ,1113000,154,189510.674,553380.006,37.57991197,126.88125
19,1106102,이촌119안전센터,안전센터/구조대, ,1106000,155,195879.7382,547839.3531,37.53004135,126.9533854
20,1121000,양천소방서,소방서, ,1100000,156,188708.9359,547859.2886,37.53016108,126.8722584
21,1100212,북한산산악구조대,안전센터/구조대, ,1100000,157,194994.6657,560097.889,37.64048548,126.9432884
22,1126305,반포수난구조대,안전센터/구조대, ,1100000,158,198175.2824,545201.8107,37.5062844,126.9793626
23,1100211,도봉산산악구조대,안전센터/구조대, ,1100000,159,203074.0467,565427.9914,37.68851716,127.0348521
24,1100213,관악산산악구조대,안전센터/구조대, ,1100000,160,195129.5919,539763.996,37.45727819,126.9449521
25,1127301,성수119안전센터,안전센터/구조대, ,1127000,161,205362.4681,548633.0107,37.53718582,127.060674
26,1105107,중곡119안전센터,안전센터/구조대, ,1105000,162,207654.2181,551938.0906,37.56694833,127.0866387
