위치명,발생건수
"37.5776007, 126.8973375",50
"37.5775996, 126.8973405",36
"37.577588, 126.8973577",27
"37.5775647, 126.897397",23
"37.5777069, 126.8971869",22
"37.5776011, 126.8973378",21
"37.5775884, 126.897358",20
"37.5777467, 126.8971264",18
"37.5775643, 126.8973968",17
"37.5776003, 126.8973385",14
"37.5775884, 126.8973578",9
"37.5775644, 126.8973967",8
"37.5777124, 126.8971772",8
"37.5777087, 126.8971825",8
"37.5777469, 126.8971265",7
"37.5777473, 126.8971268",7
"37.5777477, 126.897124",6
"37.5776282, 126.8973026",6
"37.5775883, 126.8973579",6
"37.5777471, 126.8971267",6
"37.577564, 126.8973965",6
"37.5775639, 126.8973966",6
"37.577587, 126.8973605",6
"37.5775644, 126.8973969",6
"37.5775645, 126.8973968",5
"37.5776012, 126.8973378",5
"37.5775881, 126.8973578",5
"37.5776011, 126.8973379",5
"37.5775641, 126.8973967",5
"37.5776006, 126.8973387",5
"37.5776012, 126.8973379",5
"37.5776031, 126.8973338",5
"37.5775999, 126.8973395",4
"37.5775877, 126.8973587",4
"37.5775879, 126.8973577",4
"37.5776008, 126.8973377",4
"37.5775876, 126.8973597",4
"37.5775642, 126.8973968",4
"37.5775647, 126.8973969",4
"37.5776268, 126.8973059",4
"37.5777474, 126.8971269",4
"37.5776269, 126.897306",4
"37.5776, 126.8973395",4
"37.5775635, 126.8973964",4
"37.5775646, 126.897397",4
"37.577627, 126.8973033",3
"37.5776262, 126.8973056",3
"37.5777468, 126.8971265",3
"37.5776008, 126.8973376",3
"37.577588, 126.8973576",3
"37.5775879, 126.8973579",3
"37.5777477, 126.8971242",3
"37.5776285, 126.8973028",3
"37.5775648, 126.8973971",3
"37.5776024, 126.8973349",3
"37.5776026, 126.897335",3
"37.5776031, 126.8973339",3
"37.5775873, 126.8973596",3
"37.5775883, 126.8973582",3
"37.5777588, 126.8971047",3
"37.5775638, 126.8973966",3
"37.5777066, 126.8971875",3
"37.5775887, 126.8973558",3
"37.5775884, 126.8973579",3
"37.5775885, 126.897358",3
"37.5775891, 126.8973549",3
"37.5776263, 126.8973057",3
"37.5777063, 126.8971882",3
"37.5775894, 126.8973551",3
"37.5776007, 126.8973376",3
"37.5777248, 126.8971669",3
"37.5776265, 126.8973057",3
"37.5776275, 126.8973022",3
"37.5775886, 126.8973569",3
"37.5776274, 126.8973021",3
"37.5775997, 126.8973394",2
"37.577589, 126.8973548",2
"37.5777482, 126.8971245",2
"37.5776271, 126.8973047",2
"37.5775995, 126.8973404",2
"37.5775888, 126.897357",2
"37.5777072, 126.8971871",2
"37.5776287, 126.8973029",2
"37.5776287, 126.8973009",2
