읍면동명,갯수,법정동,행정기관코드
신림동,155,신림동,1162069500
봉천동,109,봉천동,1162061500
화곡동,108,화곡동,1150059000
역삼동,94,역삼동,1168064000
독산동,87,독산동,1154564000
구로동,82,구로동,1153055000
신사동,81,신사동,1168051000
미아동,80,미아동,1130553500
상계동,79,상계동,1135069500
서초동,79,서초동,1165051000
수유동,77,수유동,1130563500
신길동,74,신길동,1156063000
면목동,67,면목동,1126057500
논현동,61,논현동,1168052100
신정동,61,신정동,1144065500
시흥동,60,시흥동,1154567000
대치동,59,대치동,1168063000
창동,57,창동,1132051500
서교동,57,서교동,1144066000
가락동,57,가락동,1171062000
대림동,56,대림동,1156070000
방배동,55,방배동,1165062100
방이동,54,방이동,1171056200
정릉동,53,정릉동,1129062000
사당동,52,사당동,1159062000
목동,51,목동,1147051000
신월동,51,신월동,1147059000
자양동,50,자양동,1121584000
방학동,48,방학동,1132069000
삼성동,47,삼성동,1168059000
성수동2가,46,성수동2가,1120067000
쌍문동,46,쌍문동,1132066000
잠실동,46,잠실동,1171065000
중계동,45,중계동,1135061900
가산동,45,가산동,1154551000
공릉동,43,공릉동,1135059500
중곡동,43,중곡동,1121574000
여의도동,42,여의도동,1156054000
등촌동,40,등촌동,1150052000
화양동,40,화양동,1121571000
천호동,40,천호동,1174060000
상도동,39,상도동,1159053000
응암동,38,응암동,1138058000
구의동,38,구의동,1121585000
창천동,36,창천동,1141058500
번동,35,번동,1130559500
방화동,35,방화동,1150062000
반포동,34,반포동,1165055000
역촌동,32,역촌동,1138062500
청담동,32,청담동,1168056500
신당동,32,신당동,1114061500
개봉동,31,개봉동,1153074000
문정동,31,문정동,1171064100
양재동,30,양재동,1165065100
장안동,30,장안동,1123065000
마곡동,30,마곡동,1150060300
갈현동,30,갈현동,1138055100
상봉동,29,상봉동,1126058000
성수동1가,29,성수동1가,1120065000
석촌동,28,석촌동,1171060000
도봉동,28,도봉동,1132052100
한남동,28,한남동,1117068500
불광동,27,불광동,1138052000
오류동,27,오류동,1153077000
연희동,27,연희동,1141061500
암사동,27,암사동,1174057000
홍은동,27,홍은동,1141066000
이태원동,26,이태원동,1117065000
삼전동,26,삼전동,1171061000
행당동,26,행당동,1120055000
송파동,26,송파동,1171058000
성내동,26,성내동,1174064000
북가좌동,25,북가좌동,1141071000
성산동,24,성산동,1144072000
종암동,24,종암동,1129070500
거여동,24,거여동,1171053100
망우동,24,망우동,1126065500
홍제동,23,홍제동,1141062000
신대방동,23,신대방동,1159067000
창신동,23,창신동,1111067000
석관동,23,석관동,1129081000
장지동,22,장지동,1171064200
휘경동,21,휘경동,1123072000
중화동,21,중화동,1126060000
합정동,21,합정동,1144068000
남가좌동,21,남가좌동,1141069000
마천동,21,마천동,1171054000
신내동,20,신내동,1126068000
망원동,20,망원동,1144069000
전농동,20,전농동,1123056000
대조동,20,대조동,1138057000
녹번동,20,녹번동,1138051000
신도림동,19,신도림동,1153051000
잠원동,19,잠원동,1165054000
용답동,19,용답동,1120079000
진관동,19,진관동,1138069000
장위동,19,장위동,1129076000
