wrinvstg_no,fire_type_nm,buld_srtfrm,buld_strctr,buld_srtrf,buld_strct_dong_cnt,ground_nof,bstory_cnt,totar,bottom_area,buld_sttus_nm,dth_cnt,injpsn_cnt,dth_hnl_dmge_cnt,prprty_dmge_amt,fire_ocrn_yr,season_se_nm,qtr_se,fire_ocrn_ymd,fire_ocrn_tm,fire_ocrn_mnth,fire_ocrn_day,fire_ocrn_hour,fire_ocrn_min,daywk,frstt_nm,ward_nm,lfdau_nm,dsp_reqre_time,fire_supesn_time,sido_nm,sigungu_nm,emd_nm,cty_frmvl_se_nm,emd_se_nm,gis_x_axis,gis_y_axis,longitude,la,spt_frstt_dist,spt_safe_cnter_dist,spt_lfdau_dist,ign_htsrc_nm,ign_htsrc_sclas_nm,ign_fctr_lclas_nm,ign_fctr_sclas_nm,frst_igobj_lclas_nm,frst_igobj_sclas_nm,ign_mhrls_lclas_nm,ign_mhrls_sclas_nm,cmbs_expobj_lclas_nm,cmbs_expobj_sclas_nm,fclty_place_lclas_nm,fclty_place_mclas_nm,fclty_place_sclas_nm,ign_floor_nm,soot_area,fio_join_trgt_yn,frmng_trgt_yn,mub_yn,emrg_crg_oper_yn,vhcle_place,vhcle_ign_bhf,fld_fire_se,fld_fire_ign_bhf,time_unit_tmprt,time_unit_rainqty,time_unit_ws,time_unit_wd,time_unit_humidity,time_unit_msnf,time_unit
230101054207011,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,8,0,989.300000,146.690000,사용중,0,0,0,5,2023,겨울,1,20230101,043600,01,01,04,36,일요일,금천소방서,금천119안전센터,,000300,000600,서울특별시,금천구,독산동,도시,동,190482.030000,540951.320000,,,0.80,0.80,0.00,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,,,,,판매/업무시설,숙박시설,기타 숙박시설,1,0.000000,N,Y,N,N,,,,,1.5,,1.0,290,74,,709
230101130808916,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,3,1,1146.000000,263.000000,사용중,0,0,0,11,2023,겨울,1,20230101,092100,01,01,09,21,일요일,송파소방서,종합운동장119안전센터,,000256,000812,서울특별시,송파구,잠실동,도시,동,206874.440000,544971.000000,,,4.50,2.00,0.00,작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,전기/전자,콘센트/ 스위치류,배선/배선기구,스위치 멀티탭,,,집합시설,종교시설,교회,-1,0.000000,N,Y,N,N,,,,,-1.7,,2.0,290,75,,763
230101143250874,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,5,1,2881.190000,1088.160000,사용중,0,0,0,9454,2023,겨울,1,20230101,102800,01,01,10,28,일요일,강동소방서,천호119안전센터,,000208,002913,서울특별시,강동구,천호동,도시,동,210956.480000,549169.670000,,,1.80,1.40,0.00,작동기기,전기적 아크(단락),전기적 요인,미확인단락,전기/전자,작동장치(모터/ 히터/ 램프 등),계절용 기기,전기히터/스토브,,,집합시설,운동시설,골프연습장,2,60.000000,N,Y,N,N,,,,,-0.4,,2.0,270,66,,938
230101124354784,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,36,7,239252.000000,2314.700000,사용중,0,0,0,2719,2023,겨울,1,20230101,103600,01,01,10,36,일요일,강남소방서,역삼119안전센터,,000249,000911,서울특별시,강남구,역삼동,도시,동,203672.796300,544819.516600,,,2.40,0.90,0.00,담뱃불/ 라이터불,라이터불/ 성냥불,방화의심,방화의심,기타,기타,,,침구/직물류,이불(베개/시트),판매/업무시설,숙박시설,호텔,29,10.000000,N,Y,N,N,,,,,-0.4,,2.0,270,66,,938
230101143911439,기타(쓰레기 화재등),,,,,,,,,,0,0,0,5,2023,겨울,1,20230101,122700,01,01,12,27,일요일,강동소방서,천호119안전센터,,000108,000459,서울특별시,강동구,천호동,도시,동,211410.647700,549618.804400,,,2.60,1.80,0.00,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,,,,,기타,야외,쓰레기,,1.000000,N,N,N,N,,,,,2.0,,2.0,290,54,,1051
230101201439009,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,3,1,356.520000,86.010000,사용중,0,0,0,486,2023,겨울,1,20230101,130200,01,01,13,02,일요일,노원소방서,월계119안전센터,,000300,000000,서울특별시,노원구,월계동,도시,동,205662.570000,557436.770000,,,3.20,1.90,0.00,마찰/ 전도/ 복사,화염 전도/복사열,부주의,가연물 근접방치,종이/목재/건초등,기타(종이/목재/건초등),,,,,생활서비스,음식점,한식,1,0.000000,N,N,N,N,,,,,3.0,,3.0,270,45,,1331
230101194930483,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,15,0,10575.600000,59.650000,사용중,0,1,1,3505,2023,겨울,1,20230101,142800,01,01,14,28,일요일,양천소방서,양천119안전센터,,000343,002500,서울특별시,양천구,신정동,도시,동,188927.498700,546687.584200,,,1.70,1.70,0.00,미상,미상,미상,미상,침구/직물류,이불(베개/시트),,,,,주거,공동주택,아파트,9,0.000000,N,N,N,N,,,,,3.8,,3.0,250,38,,1844
230101204058651,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,3,1,299.010000,83.700000,사용중,0,0,0,6,2023,겨울,1,20230101,143000,01,01,14,30,일요일,중랑소방서,망우119안전센터,,000358,000357,서울특별시,중랑구,망우동,도시,동,208804.540000,554548.560000,,,3.70,1.00,0.60,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,,,,,주거,공동주택,다세대주택,1,0.000000,N,N,N,N,,,,,3.8,,3.0,250,38,,1844
230101203108519,자동차/철도차량,,,,,,,,,,0,0,0,50,2023,겨울,1,20230101,145800,01,01,14,58,일요일,노원소방서,상계119안전센터,,000400,000000,서울특별시,노원구,상계동,도시,동,206748.044000,563110.905000,,,3.70,1.60,0.00,마찰/ 전도/ 복사,마찰열/마찰 스파크,기타,기타,자동차/철도차량/선박/항공기,부품,차량/ 선박부품,팬벨트,,,자동차/철도차량,자동차,승용자동차,,,N,N,N,N,일반도로,기타차량위치,,,3.8,,3.0,250,38,,1844
230101170237242,건축/구조물,양식(옥),철근콘크리트조,슬라브가,,3,1,1026.050000,204.440000,사용중,0,0,0,51,2023,겨울,1,20230101,150200,01,01,15,02,일요일,동작소방서,백운119안전센터,,000312,000049,서울특별시,동작구,상도동,도시,동,195866.660000,543748.910000,,,5.40,1.00,0.00,작동기기,전기적 아크(단락),전기적 요인,과부하/과전류,합성수지,기타(합성수지),,,,,생활서비스,오락시설,멀티미디어콘텐츠,2,0.000000,N,Y,N,N,,,,,3.1,,3.0,270,37,,2000
230101223534434,건축/구조물,양식(옥),벽돌조,슬라브가,1,2,1,277.000000,96.000000,사용중,0,0,0,1847,2023,겨울,1,20230101,163500,01,01,16,35,일요일,송파소방서,거여119안전센터,,000353,000625,서울특별시,송파구,마천동,도시,동,213144.670000,544305.040000,,,1.00,1.00,0.00,담뱃불/ 라이터불,라이터불/ 성냥불,부주의,기타(부주의),종이/목재/건초등,풀/ 나뭇잎,,,,,주거,단독주택,다가구주택,2,10.000000,N,N,N,N,,,,,2.6,,4.0,290,33,,2000
230101183535289,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1,3,0,163.960000,5.000000,사용중,0,0,0,151,2023,겨울,1,20230101,171600,01,01,17,16,일요일,영등포소방서,영등포119안전센터,,000243,000155,서울특별시,영등포구,영등포동3가,도시,동,191903.873900,546483.132400,,,1.30,1.30,0.00,작동기기,불꽃/ 스파크/ 정전기,방화의심,방화의심,종이/목재/건초등,종이,기타,기타,,,판매/업무시설,숙박시설,여관,1,0.000000,N,N,N,N,,,,,1.7,,3.0,270,29,,2000
