소방서명,서센터명,출동소요시간,시군구명,읍면동명,GIS_X좌표,GIS_Y좌표,현장소방서거리,현장안전센터거리,발화요인대분류명,시설장소대분류명
frstt_nm,ward_nm,dsp_reqre_time,sigungu_nm,emd_nm,gis_x_axis,gis_y_axis,spt_frstt_dist,spt_safe_cnter_dist,ign_fctr_lclas_nm,fclty_place_lclas_nm
금천소방서,금천119안전센터,300,금천구,독산동,190482.03,540951.32,0.8,0.8,부주의,판매/업무시설
송파소방서,종합운동장119안전센터,256,송파구,잠실동,206874.44,544971,4.5,2,전기적 요인,집합시설
강동소방서,천호119안전센터,208,강동구,천호동,210956.48,549169.67,1.8,1.4,전기적 요인,집합시설
강남소방서,역삼119안전센터,249,강남구,역삼동,203672.7963,544819.5166,2.4,0.9,방화의심,판매/업무시설
강동소방서,천호119안전센터,108,강동구,천호동,211410.6477,549618.8044,2.6,1.8,부주의,기타
노원소방서,월계119안전센터,300,노원구,월계동,205662.57,557436.77,3.2,1.9,부주의,생활서비스
양천소방서,양천119안전센터,343,양천구,신정동,188927.4987,546687.5842,1.7,1.7,미상,주거
중랑소방서,망우119안전센터,358,중랑구,망우동,208804.54,554548.56,3.7,1,부주의,주거
노원소방서,상계119안전센터,400,노원구,상계동,206748.044,563110.905,3.7,1.6,기타,자동차/철도차량
동작소방서,백운119안전센터,312,동작구,상도동,195866.66,543748.91,5.4,1,전기적 요인,생활서비스
송파소방서,거여119안전센터,353,송파구,마천동,213144.67,544305.04,1,1,부주의,주거
영등포소방서,영등포119안전센터,243,영등포구,영등포동3가,191903.8739,546483.1324,1.3,1.3,방화의심,판매/업무시설
구로소방서,공단119안전센터,353,구로구,구로동,190060.778,542959.0658,4,1.6,부주의,판매/업무시설
성동소방서,성수119안전센터,341,성동구,성수동2가,204704.5,549226.1,2.4,1,전기적 요인,생활서비스
성동소방서,행당119안전센터,413,성동구,행당동,203598.3,551277.05,1.2,1.2,부주의,기타
서초소방서,잠원119안전센터,350,서초구,서초동,202244.475,544568.1125,3.4,2.8,부주의,기타서비스
강서소방서,화곡119안전센터,400,강서구,화곡동,186436.4485,548170.4639,5,1.7,기계적 요인,판매/업무시설
은평소방서,녹번119안전센터,400,은평구,응암동,192830.84,555551.11,3.5,1.5,부주의,판매/업무시설
강서소방서,등촌119안전센터,400,강서구,등촌동,186668.9241,551104.886,1.6,1.6,부주의,주거
은평소방서,수색119안전센터,256,은평구,증산동,192145.6955,554010.9022,5.1,3.1,부주의,집합시설
도봉소방서,도봉119안전센터,444,도봉구,방학동,203108.83,562851.15,1,1,부주의,판매/업무시설
광진소방서,능동119안전센터,325,광진구,자양동,206100.77,548709.24,2,2,부주의,생활서비스
용산소방서,이태원119안전센터,421,용산구,한남동,200394.9536,548233.9337,3.2,0.9,부주의,기타
영등포소방서,영등포119안전센터,438,영등포구,신길동,191244.46,545173.02,2.2,2.2,전기적 요인,주거
양천소방서,양천119안전센터,406,양천구,신정동,187684.15,547380.76,1.5,1.5,전기적 요인,판매/업무시설
종로소방서,연건119안전센터,134,종로구,효제동,200211.48,552609.61,1.6,1.3,미상,집합시설
송파소방서,가락119안전센터,250,송파구,가락동,210563.0601,543903.383,2.5,1.5,부주의,기타
마포소방서,성산119안전센터,210,마포구,중동,192167.3173,552250.9374,4.2,1,부주의,주거
서대문소방서,북가좌119안전센터,452,서대문구,남가좌동,193153.17,553478.17,2.8,1.2,전기적 요인,주거
노원소방서,상계119안전센터,458,노원구,상계동,206104.01,562241.44,3.8,2.5,기계적 요인,생활서비스
관악소방서,신림119안전센터,404,관악구,신림동,192950.38,542786.67,4.4,1.6,부주의,생활서비스
중랑소방서,중화119안전센터,419,중랑구,상봉동,208035.45,555044.08,2.8,1.4,전기적 요인,생활서비스
관악소방서,관악119안전센터,740,관악구,봉천동,196868.3158,541288.8842,2.8,2.8,미상,주거
강남소방서,삼성119안전센터,430,강남구,삼성동,204086.23,545674.77,2.4,2.4,부주의,기타
노원소방서,공릉119안전센터,433,노원구,공릉동,206766.45,558818.97,1.4,1.5,전기적 요인,생활서비스
강남소방서,삼성119안전센터,317,강남구,대치동,205250.73,545167.97,0.9,0.9,기계적 요인,생활서비스
강서소방서,등촌119안전센터,140,강서구,화곡동,187210.23,548671.98,3.7,1.5,부주의,주거
금천소방서,금천119안전센터,253,금천구,독산동,190463.6,541248.63,1.5,1.5,기계적 요인,산업시설
도봉소방서,방학119안전센터,320,도봉구,창동,204308.3806,561539.1732,1.5,1.5,방화의심,기타
도봉소방서,도봉119안전센터,341,도봉구,방학동,202658.69,563075.3,1.8,2.5,부주의,주거
송파소방서,종합운동장119안전센터,328,송파구,잠실동,207030.45,545711.53,5.5,1.5,미상,판매/업무시설
중부소방서,무학119안전센터,213,중구,신당동,202098.791,551419.1058,1.1,1.1,부주의,주거
마포소방서,서교119안전센터,333,마포구,연남동,192921.83,551257.26,3.2,1.7,부주의,주거
강서소방서,발산119안전센터,131,강서구,내발산동,185689.92,550624.49,2.7,0.3,전기적 요인,생활서비스
강서소방서,발산119안전센터,310,강서구,화곡동,185941.22,549194.65,3.1,0.7,전기적 요인,판매/업무시설
금천소방서,금천119안전센터,728,금천구,가산동,189629.6797,542221.2792,3.9,3.9,부주의,산업시설
서대문소방서,연희119안전센터,346,서대문구,창천동,193992.64,551036.31,2.5,2.5,부주의,주거
강북소방서,삼각산119안전센터,421,강북구,수유동,201902.62,559107.88,2.5,1.8,부주의,주거
관악소방서,난곡119안전센터,431,관악구,신림동,193176.48,541021.42,6.5,1.1,전기적 요인,주거
성동소방서,금호119안전센터,303,성동구,금호동1가,201796.6,550591.93,4,0.7,전기적 요인,판매/업무시설
영등포소방서,신길119안전센터,404,영등포구,신길동,192856.9426,545280.9933,3.2,0.7,전기적 요인,주거
성동소방서,행당119안전센터,316,성동구,행당동,203569.09,551374.89,1.2,1.2,부주의,주거
종로소방서,종로119안전센터,243,종로구,익선동,199090.56,552610,1,0.5,부주의,생활서비스
은평소방서,진관119안전센터,340,은평구,진관동,192563.8565,559930.3201,1.5,1.5,미상,자동차/철도차량
강서소방서,화곡119안전센터,130,강서구,화곡동,186186.47,549160.74,3.3,0.3,부주의,주거
금천소방서,금천119안전센터,525,금천구,가산동,189713.3595,542323.0117,2.8,2.8,부주의,기타
동대문소방서,휘경119안전센터,428,동대문구,이문동,205882.32,555505.83,5,1.5,미상,주거
구로소방서,공단119안전센터,357,구로구,구로동,190532.0749,542355.2496,5.1,0.7,전기적 요인,산업시설
